OSD.flyTime [s],CUSTOM.updateTime,OSD.latitude,OSD.longitude,OSD.altitude [m],OSD.speed [m/s],OSD.vSpeed [m/s],OSD.heading,BATTERY.chargeLevel [%],BATTERY.temperature [°C],OSD.flycState
86,2024-01-15T10:01:26Z,51.5088333,-0.1268094,50.19,4.91,0.011,90,100.0,29.9,AutoFlight
87,2024-01-15T10:01:27Z,51.50885,-0.1268073,50.09,5.16,0.12,90,100.0,29.0,AutoFlight
88,2024-01-15T10:01:28Z,51.5088667,-0.1268054,48.62,5.09,0.023,90,100.0,28.9,AutoFlight
89,2024-01-15T10:01:29Z,51.5088833,-0.1268038,50.7,5.18,-0.099,90,100.0,29.5,AutoFlight
90,2024-01-15T10:01:30Z,51.5089,-0.1268025,49.84,4.56,0.045,90,100.0,29.2,AutoFlight
91,2024-01-15T10:01:31Z,51.5089167,-0.1268015,49.4,5.16,0.049,90,100.0,29.0,AutoFlight
92,2024-01-15T10:01:32Z,51.5089333,-0.1268007,50.32,5.3,-0.071,90,100.0,29.5,AutoFlight
93,2024-01-15T10:01:33Z,51.50895,-0.1268002,50.0,5.68,-0.186,90,100.0,29.6,AutoFlight
94,2024-01-15T10:01:34Z,51.5089667,-0.1268,49.76,4.97,0.19,90,100.0,29.3,AutoFlight
95,2024-01-15T10:01:35Z,51.5089833,-0.1268001,51.79,4.87,0.035,90,100.0,29.1,AutoFlight
96,2024-01-15T10:01:36Z,51.509,-0.1268004,49.45,5.02,-0.028,90,100.0,29.4,AutoFlight
97,2024-01-15T10:01:37Z,51.5090167,-0.1268011,48.32,5.6,-0.017,90,100.0,30.2,AutoFlight
98,2024-01-15T10:01:38Z,51.5090333,-0.126802,49.19,5.09,0.316,90,100.0,28.9,AutoFlight
99,2024-01-15T10:01:39Z,51.50905,-0.1268031,48.8,4.84,0.047,90,100.0,29.7,AutoFlight
100,2024-01-15T10:01:40Z,51.5090667,-0.1268046,51.03,4.92,-0.16,90,100.0,29.2,AutoFlight
101,2024-01-15T10:01:41Z,51.5090833,-0.1268063,50.99,5.14,-0.196,90,100.0,29.4,AutoFlight
102,2024-01-15T10:01:42Z,51.5091,-0.1268083,51.12,5.64,0.056,90,100.0,29.6,AutoFlight
103,2024-01-15T10:01:43Z,51.5091167,-0.1268106,49.01,4.75,0.005,90,100.0,29.7,AutoFlight
104,2024-01-15T10:01:44Z,51.5091333,-0.1268132,50.46,4.86,-0.115,90,100.0,29.1,AutoFlight
105,2024-01-15T10:01:45Z,51.50915,-0.126816,49.07,5.19,-0.231,90,100.0,29.3,AutoFlight
106,2024-01-15T10:01:46Z,51.5091667,-0.1268191,50.36,5.46,0.007,90,100.0,30.0,AutoFlight
107,2024-01-15T10:01:47Z,51.5091833,-0.1268225,49.68,4.78,-0.067,90,100.0,30.3,AutoFlight
108,2024-01-15T10:01:48Z,51.5092,-0.1268262,50.8,5.15,0.333,90,100.0,29.5,AutoFlight
109,2024-01-15T10:01:49Z,51.5092167,-0.1268301,50.5,5.09,-0.022,90,100.0,30.7,AutoFlight
110,2024-01-15T10:01:50Z,51.5092333,-0.1268343,51.21,4.58,-0.04,90,100.0,29.7,AutoFlight
111,2024-01-15T10:01:51Z,51.50925,-0.1268387,50.63,4.6,-0.226,90,100.0,28.6,AutoFlight
112,2024-01-15T10:01:52Z,51.5092667,-0.1268435,49.94,4.97,0.035,90,100.0,29.2,AutoFlight
113,2024-01-15T10:01:53Z,51.5092833,-0.1268484,49.02,4.39,0.033,90,100.0,29.8,AutoFlight
114,2024-01-15T10:01:54Z,51.5093,-0.1268537,50.79,5.24,-0.019,90,100.0,30.3,AutoFlight
115,2024-01-15T10:01:55Z,51.5093167,-0.1268592,49.89,4.8,-0.052,90,100.0,29.3,AutoFlight
116,2024-01-15T10:01:56Z,51.5093333,-0.126865,48.27,5.05,0.025,90,100.0,29.4,AutoFlight
117,2024-01-15T10:01:57Z,51.50935,-0.126871,49.43,5.11,0.172,90,100.0,29.6,AutoFlight
118,2024-01-15T10:01:58Z,51.5093667,-0.1268773,49.59,4.82,-0.007,90,100.0,29.0,AutoFlight
119,2024-01-15T10:01:59Z,51.5093833,-0.1268839,49.9,5.02,0.184,90,100.0,30.1,AutoFlight
120,2024-01-15T10:02:00Z,51.5096,-0.1268907,50.83,4.79,0.067,95,100.0,29.1,AutoFlight
121,2024-01-15T10:02:01Z,51.5095833,-0.1268978,50.25,5.13,-0.077,95,100.0,30.7,AutoFlight
122,2024-01-15T10:02:02Z,51.5095667,-0.1269051,50.45,4.43,0.055,95,100.0,29.5,AutoFlight
123,2024-01-15T10:02:03Z,51.50955,-0.1269126,50.0,5.14,0.039,95,100.0,28.7,AutoFlight
124,2024-01-15T10:02:04Z,51.5095333,-0.1269204,49.07,5.23,0.13,95,100.0,30.7,AutoFlight
125,2024-01-15T10:02:05Z,51.5095167,-0.1269285,51.44,4.38,0.077,95,100.0,28.8,AutoFlight
126,2024-01-15T10:02:06Z,51.5095,-0.1269368,51.29,5.08,-0.114,95,100.0,30.8,AutoFlight
127,2024-01-15T10:02:07Z,51.5094833,-0.1269453,50.52,4.43,0.029,95,100.0,29.4,AutoFlight
128,2024-01-15T10:02:08Z,51.5094667,-0.1269541,50.09,4.86,0.137,95,100.0,29.1,AutoFlight
129,2024-01-15T10:02:09Z,51.50945,-0.1269631,50.25,5.54,-0.083,95,100.0,29.9,AutoFlight
130,2024-01-15T10:02:10Z,51.5094333,-0.1269723,50.16,4.79,0.065,95,100.0,29.9,AutoFlight
131,2024-01-15T10:02:11Z,51.5094167,-0.1269818,49.24,5.53,0.079,95,100.0,29.7,AutoFlight
132,2024-01-15T10:02:12Z,51.5094,-0.1269915,49.49,4.76,0.123,95,100.0,29.8,AutoFlight
133,2024-01-15T10:02:13Z,51.5093833,-0.1270014,50.37,4.94,0.062,95,100.0,29.8,AutoFlight
134,2024-01-15T10:02:14Z,51.5093667,-0.1270116,50.61,4.95,0.083,95,100.0,30.2,AutoFlight
135,2024-01-15T10:02:15Z,51.50935,-0.1270219,49.91,4.74,-0.094,95,100.0,29.5,AutoFlight
136,2024-01-15T10:02:16Z,51.5093333,-0.1270325,49.21,5.26,-0.005,95,99.9,30.7,AutoFlight
137,2024-01-15T10:02:17Z,51.5093167,-0.1270433,51.82,5.01,-0.155,95,99.9,29.7,AutoFlight
138,2024-01-15T10:02:18Z,51.5093,-0.1270543,49.94,4.55,-0.025,95,99.9,30.1,AutoFlight
139,2024-01-15T10:02:19Z,51.5092833,-0.1270655,49.63,4.77,-0.076,95,99.9,30.8,AutoFlight
140,2024-01-15T10:02:20Z,51.5092667,-0.1270769,49.87,4.75,-0.037,95,99.9,30.4,AutoFlight
141,2024-01-15T10:02:21Z,51.50925,-0.1270885,49.45,5.14,0.073,95,99.9,30.3,AutoFlight
142,2024-01-15T10:02:22Z,51.5092333,-0.1271003,51.12,4.83,0.113,95,99.9,29.6,AutoFlight
143,2024-01-15T10:02:23Z,51.5092167,-0.1271123,49.68,5.36,0.082,95,99.9,30.0,AutoFlight
144,2024-01-15T10:02:24Z,51.5092,-0.1271245,49.05,5.17,-0.063,95,99.9,29.5,AutoFlight
145,2024-01-15T10:02:25Z,51.5091833,-0.1271369,49.48,5.07,-0.212,95,99.9,30.2,AutoFlight
146,2024-01-15T10:02:26Z,51.5091667,-0.1271495,50.14,4.82,0.104,95,99.9,30.3,AutoFlight
147,2024-01-15T10:02:27Z,51.50915,-0.1271622,49.51,4.8,0.07,95,99.9,29.3,AutoFlight
148,2024-01-15T10:02:28Z,51.5091333,-0.1271752,49.73,4.81,0.007,95,99.9,30.2,AutoFlight
149,2024-01-15T10:02:29Z,51.5091167,-0.1271883,50.03,5.34,0.023,95,99.9,29.9,AutoFlight
150,2024-01-15T10:02:30Z,51.5091,-0.1272015,49.03,5.22,0.053,95,99.9,30.8,AutoFlight
151,2024-01-15T10:02:31Z,51.5090833,-0.127215,49.4,5.01,-0.006,95,99.9,30.1,AutoFlight
152,2024-01-15T10:02:32Z,51.5090667,-0.1272286,50.01,4.49,0.082,95,99.9,30.4,AutoFlight
153,2024-01-15T10:02:33Z,51.50905,-0.1272423,50.9,5.67,-0.032,95,99.9,30.1,AutoFlight
154,2024-01-15T10:02:34Z,51.5090333,-0.1272562,50.01,5.58,-0.173,95,99.9,30.4,AutoFlight
155,2024-01-15T10:02:35Z,51.5090167,-0.1272703,48.82,4.23,-0.202,95,99.9,29.5,AutoFlight
156,2024-01-15T10:02:36Z,51.509,-0.1272845,50.86,4.74,-0.023,95,99.9,29.6,AutoFlight
157,2024-01-15T10:02:37Z,51.5089833,-0.1272989,50.49,4.67,0.132,95,99.9,29.7,AutoFlight
158,2024-01-15T10:02:38Z,51.5089667,-0.1273133,49.39,5.04,0.002,95,99.9,30.9,AutoFlight
159,2024-01-15T10:02:39Z,51.50895,-0.127328,50.1,4.64,-0.056,95,99.9,29.9,AutoFlight
160,2024-01-15T10:02:40Z,51.5089333,-0.1273427,50.58,5.12,-0.012,95,99.9,30.7,AutoFlight
161,2024-01-15T10:02:41Z,51.5089167,-0.1273576,49.58,4.96,0.018,95,99.9,31.0,AutoFlight
162,2024-01-15T10:02:42Z,51.5089,-0.1273726,49.92,4.89,-0.105,95,99.9,30.6,AutoFlight
163,2024-01-15T10:02:43Z,51.5088833,-0.1273877,49.53,5.1,-0.19,95,99.9,30.8,AutoFlight
164,2024-01-15T10:02:44Z,51.5088667,-0.127403,48.93,4.77,0.106,95,99.9,29.6,AutoFlight
165,2024-01-15T10:02:45Z,51.50885,-0.1274183,49.94,5.02,-0.1,95,99.9,31.0,AutoFlight
166,2024-01-15T10:02:46Z,51.5088333,-0.1274338,51.2,4.41,-0.145,95,99.9,30.7,AutoFlight
167,2024-01-15T10:02:47Z,51.5088167,-0.1274494,48.96,4.88,0.013,95,99.9,30.7,AutoFlight
168,2024-01-15T10:02:48Z,51.5088,-0.127465,49.82,5.03,-0.078,95,99.9,31.0,AutoFlight
169,2024-01-15T10:02:49Z,51.5087833,-0.1274808,49.6,5.1,-0.051,95,99.9,30.4,AutoFlight
170,2024-01-15T10:02:50Z,51.5087667,-0.1274966,49.87,4.95,-0.101,95,99.9,30.8,AutoFlight
171,2024-01-15T10:02:51Z,51.50875,-0.1275125,51.13,5.07,0.073,95,99.9,30.8,AutoFlight
172,2024-01-15T10:02:52Z,51.5087333,-0.1275285,50.74,5.09,0.021,95,99.9,30.8,AutoFlight
173,2024-01-15T10:02:53Z,51.5087167,-0.1275446,50.06,4.71,0.002,95,99.9,29.5,AutoFlight
174,2024-01-15T10:02:54Z,51.5087,-0.1275608,50.0,5.12,0.124,95,99.9,30.5,AutoFlight
175,2024-01-15T10:02:55Z,51.5086833,-0.127577,50.74,5.0,-0.102,95,99.9,29.7,AutoFlight
176,2024-01-15T10:02:56Z,51.5086667,-0.1275932,49.22,4.59,0.063,95,99.9,30.3,AutoFlight
177,2024-01-15T10:02:57Z,51.50865,-0.1276096,50.46,5.02,0.104,95,99.9,31.0,AutoFlight
178,2024-01-15T10:02:58Z,51.5086333,-0.127626,49.48,4.92,-0.053,95,99.9,29.7,AutoFlight
179,2024-01-15T10:02:59Z,51.5086167,-0.1276424,50.54,5.36,-0.001,95,99.9,30.2,AutoFlight
180,2024-01-15T10:03:00Z,51.5086,-0.1276589,50.87,4.3,0.018,95,99.9,30.6,AutoFlight
181,2024-01-15T10:03:01Z,51.5085833,-0.1276754,49.54,5.42,0.097,95,99.9,30.4,AutoFlight
182,2024-01-15T10:03:02Z,51.5085667,-0.127692,49.93,4.88,-0.051,95,99.9,29.9,AutoFlight
183,2024-01-15T10:03:03Z,51.50855,-0.1277085,51.1,5.31,0.08,95,99.9,30.0,AutoFlight
184,2024-01-15T10:03:04Z,51.5085333,-0.1277251,51.66,5.59,0.019,95,99.9,30.1,AutoFlight
185,2024-01-15T10:03:05Z,51.5085167,-0.1277418,49.31,5.13,-0.091,95,99.9,30.5,AutoFlight
186,2024-01-15T10:03:06Z,51.5085,-0.1277584,50.87,4.55,0.201,95,99.9,31.4,AutoFlight
187,2024-01-15T10:03:07Z,51.5084833,-0.1277751,49.01,4.58,-0.028,95,99.9,30.1,AutoFlight
188,2024-01-15T10:03:08Z,51.5084667,-0.1277917,49.79,4.23,-0.023,95,99.9,31.5,AutoFlight
189,2024-01-15T10:03:09Z,51.50845,-0.1278084,49.11,4.92,-0.149,95,99.9,30.9,AutoFlight
190,2024-01-15T10:03:10Z,51.5084333,-0.1278251,49.82,5.58,0.021,95,99.9,30.4,AutoFlight
191,2024-01-15T10:03:11Z,51.5084167,-0.1278417,50.44,4.85,-0.134,95,99.9,30.8,AutoFlight
192,2024-01-15T10:03:12Z,51.5084,-0.1278584,49.86,5.05,0.038,95,99.9,30.4,AutoFlight
193,2024-01-15T10:03:13Z,51.5083833,-0.127875,50.34,5.52,-0.111,95,99.9,31.5,AutoFlight
194,2024-01-15T10:03:14Z,51.5083667,-0.1278916,49.81,4.77,0.243,95,99.9,30.8,AutoFlight
195,2024-01-15T10:03:15Z,51.50835,-0.1279082,51.1,5.25,-0.168,95,99.9,30.8,AutoFlight
196,2024-01-15T10:03:16Z,51.5083333,-0.1279247,49.58,4.6,-0.177,95,99.9,30.8,AutoFlight
197,2024-01-15T10:03:17Z,51.5083167,-0.1279413,50.47,5.12,-0.031,95,99.9,30.3,AutoFlight
198,2024-01-15T10:03:18Z,51.5083,-0.1279577,49.21,4.83,-0.103,95,99.9,30.6,AutoFlight
199,2024-01-15T10:03:19Z,51.5082833,-0.1279742,49.98,4.73,-0.023,95,99.9,30.4,AutoFlight
200,2024-01-15T10:03:20Z,51.5082667,-0.1279906,50.0,5.15,0.018,95,99.9,31.0,AutoFlight
201,2024-01-15T10:03:21Z,51.50825,-0.1280069,48.68,4.89,0.028,95,99.9,31.1,AutoFlight
202,2024-01-15T10:03:22Z,51.5082333,-0.1280232,48.72,5.05,0.121,95,99.9,30.7,AutoFlight
203,2024-01-15T10:03:23Z,51.5082167,-0.1280394,49.92,5.14,0.025,95,99.9,31.1,AutoFlight
204,2024-01-15T10:03:24Z,51.5082,-0.1280555,50.06,5.05,-0.078,95,99.9,30.7,AutoFlight
205,2024-01-15T10:03:25Z,51.5081833,-0.1280716,51.0,4.94,-0.017,95,99.9,30.6,AutoFlight
206,2024-01-15T10:03:26Z,51.5081667,-0.1280876,50.63,4.74,0.091,95,99.9,30.4,AutoFlight
207,2024-01-15T10:03:27Z,51.50815,-0.1281035,49.15,5.06,0.013,95,99.9,31.0,AutoFlight
208,2024-01-15T10:03:28Z,51.5081333,-0.1281194,50.85,4.88,0.044,95,99.9,30.4,AutoFlight
209,2024-01-15T10:03:29Z,51.5081167,-0.1281351,51.01,5.19,0.054,95,99.9,31.0,AutoFlight
210,2024-01-15T10:03:30Z,51.5081,-0.1281508,49.37,4.9,0.05,95,99.9,30.9,AutoFlight
211,2024-01-15T10:03:31Z,51.5080833,-0.1281663,50.1,4.59,0.018,95,99.9,30.6,AutoFlight
212,2024-01-15T10:03:32Z,51.5080667,-0.1281818,49.13,4.95,-0.186,95,99.9,31.3,AutoFlight
213,2024-01-15T10:03:33Z,51.50805,-0.1281971,50.68,4.98,-0.099,95,99.9,30.5,AutoFlight
214,2024-01-15T10:03:34Z,51.5080333,-0.1282124,49.88,4.27,0.018,95,99.9,31.3,AutoFlight
215,2024-01-15T10:03:35Z,51.5080167,-0.1282275,49.75,4.85,0.018,95,99.9,31.1,AutoFlight
216,2024-01-15T10:03:36Z,51.508,-0.1282425,50.88,5.01,-0.069,95,99.9,30.8,AutoFlight
217,2024-01-15T10:03:37Z,51.5079833,-0.1282574,50.15,5.47,-0.032,95,99.9,30.5,AutoFlight
218,2024-01-15T10:03:38Z,51.5079667,-0.1282722,49.3,4.37,0.033,95,99.9,30.3,AutoFlight
219,2024-01-15T10:03:39Z,51.50795,-0.1282868,49.01,4.41,-0.112,95,99.9,31.3,AutoFlight
220,2024-01-15T10:03:40Z,51.5079333,-0.1283013,48.95,4.48,0.018,95,99.9,30.9,AutoFlight
221,2024-01-15T10:03:41Z,51.5079167,-0.1283156,50.35,5.22,-0.001,95,99.9,30.4,AutoFlight
222,2024-01-15T10:03:42Z,51.5079,-0.1283298,49.9,5.15,-0.058,95,99.9,30.3,AutoFlight
223,2024-01-15T10:03:43Z,51.5078833,-0.1283439,50.88,4.88,-0.041,95,99.9,31.1,AutoFlight
224,2024-01-15T10:03:44Z,51.5078667,-0.1283578,50.82,5.08,-0.033,95,99.9,31.4,AutoFlight
225,2024-01-15T10:03:45Z,51.50785,-0.1283716,51.72,5.42,0.067,95,99.9,30.5,AutoFlight
226,2024-01-15T10:03:46Z,51.5078333,-0.1283852,53.0,4.64,-0.037,95,99.9,30.8,AutoFlight
227,2024-01-15T10:03:47Z,51.5078167,-0.1283986,51.3,5.13,-0.143,95,99.9,31.3,AutoFlight
228,2024-01-15T10:03:48Z,51.5078,-0.1284119,50.44,4.9,-0.122,95,99.9,30.8,AutoFlight
229,2024-01-15T10:03:49Z,51.5077833,-0.128425,49.65,5.01,-0.052,95,99.9,31.5,AutoFlight
230,2024-01-15T10:03:50Z,51.5077667,-0.1284379,49.24,4.48,-0.074,95,99.9,31.8,AutoFlight
231,2024-01-15T10:03:51Z,51.50775,-0.1284506,49.54,5.7,0.049,95,99.9,30.6,AutoFlight
232,2024-01-15T10:03:52Z,51.5077333,-0.1284632,49.33,5.07,-0.118,95,99.9,32.4,AutoFlight
233,2024-01-15T10:03:53Z,51.5077167,-0.1284756,49.21,5.2,0.146,95,99.9,31.2,AutoFlight
